FIRSTNAME,LASTNAME,BIRTHDAY,UNIVERSITY,,,
Aurora,Ford,8/24/1997,Ateneo De Manila University,,,
Beckett,Mcmillan,5/18/1998,Ateneo De Manila University,,,
Quinton,Reid,11/23/1995,Ateneo De Manila University,,,
Ivan,Ruiz,8/2/1997,Ateneo De Manila University,,,
Madelynn,Harding,6/11/1997,Ateneo De Manila University,,,
Johan,Wong,7/21/1993,Ateneo De Manila University,,,
Mike,Donovan,3/7/1997,Ateneo De Manila University,,,
Amiyah,Marshall,10/7/1996,Ateneo De Manila University,,,
Henry,Ward,5/21/1992,Ateneo De Manila University,,,
Abram,Grant,4/27/1995,Ateneo De Manila University,,,
Ellis,Blackwell,12/10/1995,Ateneo De Manila University,,,
Fabian,Garza,12/9/1995,Ateneo De Manila University,,,
Gemma,Mckinney,2/26/1993,Ateneo De Manila University,,,
Carley,Tillman,12/26/1995,Ateneo De Manila University,,,
Aubree,Warren,8/25/1992,Ateneo De Manila University,,,
Isaac,Aguilar,12/8/1992,Ateneo De Manila University,,,
Alfredo,Coffey,7/10/1996,Ateneo De Manila University,,,
Keith,Roy,11/21/1992,Ateneo De Manila University,,,
Cade,Pate,6/12/1993,Ateneo De Manila University,,,
Boston,Cardenas,10/20/1995,Ateneo De Manila University,,,
Aryan,Boyer,12/31/1993,Ateneo De Manila University,,,
Coen,Diaz,9/1/1996,Ateneo De Manila University,,,
Tara,Berry,10/1/1994,Ateneo De Manila University,,,
Nash,Ballard,12/26/1995,Ateneo De Manila University,,,
Samuel,Black,5/14/1993,Ateneo De Manila University,,,
Dangelo,Rose,10/3/1995,Ateneo De Manila University,,,
Cayson,Hooper,1/26/1995,Ateneo De Manila University,,,
Lennox,Clayton,12/29/1992,Ateneo De Manila University,,,
Bailee,Huber,9/25/1993,Ateneo De Manila University,,,
Sasha,Mercer,1/4/1993,Ateneo De Manila University,,,
Mariam,Hutchinson,12/19/1997,Ateneo De Manila University,,,
Ben,Tillman,9/5/1997,Ateneo De Manila University,,,
Edwin,Jefferson,10/14/1993,Ateneo De Manila University,,,
Edwin,Scott,8/27/1993,Ateneo De Manila University,,,
Jordan,Washington,7/7/1997,Ateneo De Manila University,,,
Rodney,Conner,12/18/1994,Ateneo De Manila University,,,
Jacob,Guerrero,12/28/1992,Ateneo De Manila University,,,
Jax,Mccall,12/14/1998,Ateneo De Manila University,,,
Landon,Berg,2/23/1994,Ateneo De Manila University,,,
Eve,Mejia,6/27/1995,Ateneo De Manila University,,,
Dorothy,Russo,6/28/1993,Ateneo De Manila University,,,
Frank,Bush,11/22/1993,Ateneo De Manila University,,,
Gage,Pope,6/4/1995,Ateneo De Manila University,,,
Alexzander,Ross,8/8/1996,Ateneo De Manila University,,,
Kamden,Mason,2/28/1992,Ateneo De Manila University,,,
Princeton,Gates,3/1/1996,Ateneo De Manila University,,,
Alfonso,Guthrie,10/24/1993,Ateneo De Manila University,,,
Jax,Nash,8/13/1994,Ateneo De Manila University,,,
Jason,Tucker,2/3/1993,Ateneo De Manila University,,,
Gauge,Wolfe,9/19/1997,Ateneo De Manila University,,,
Hendrix,Mcdaniel,7/2/1992,Ateneo De Manila University,,,
Bobby,Greer,10/22/1994,Ateneo De Manila University,,,
Grace,Mckay,1/21/1993,Ateneo De Manila University,,,
Tia,Mosley,10/13/1992,Ateneo De Manila University,,,
Deangelo,Dawson,7/27/1992,Ateneo De Manila University,,,
Stephanie,English,4/18/1997,Ateneo De Manila University,,,
Demi,Mcgowan,8/15/1993,Ateneo De Manila University,,,
Elyse,Figueroa,10/9/1993,Ateneo De Manila University,,,
Jagger,Bowers,8/11/1993,Ateneo De Manila University,,,
Luciano,Lowery,1/6/1993,Ateneo De Manila University,,,
Laura,Copeland,6/14/1992,Ateneo De Manila University,,,
Addilyn,Davis,6/23/1997,Ateneo De Manila University,,,
Annabelle,Bennett,9/2/1994,Ateneo De Manila University,,,
Abigail,Bullock,12/22/1996,Ateneo De Manila University,,,
Bridger,Chandler,4/9/1998,Ateneo De Manila University,,,
Iris,Waller,11/19/1992,Ateneo De Manila University,,,
Haiden,Jenkins,7/31/1992,Ateneo De Manila University,,,
Hanna,Page,2/22/1992,Ateneo De Manila University,,,
Kasen,Sellers,5/31/1995,Ateneo De Manila University,,,
Triston,Berry,8/16/1997,Ateneo De Manila University,,,
Helena,Livingston,5/2/1995,Ateneo De Manila University,,,
Alaya,Mcmahon,8/21/1997,Ateneo De Manila University,,,
Sasha,Herrera,6/26/1996,Ateneo De Manila University,,,
Cherish,Abbott,4/1/1993,Ateneo De Manila University,,,
Zachary,Wilkinson,2/18/1993,Ateneo De Manila University,,,
Rebecca,Sosa,4/22/1995,Ateneo De Manila University,,,
Aryana,Thornton,10/19/1998,Ateneo De Manila University,,,
Beatrice,Leon,2/26/1998,Ateneo De Manila University,,,
Channing,Alvarez,7/24/1997,Ateneo De Manila University,,,
Raina,Gray,8/11/1992,Ateneo De Manila University,,,
Isabel,Clemons,7/11/1993,Ateneo De Manila University,,,
Ansley,Mckay,1/22/1995,Ateneo De Manila University,,,
Natalie,Hewitt,6/28/1998,Ateneo De Manila University,,,
Drew,Shields,11/2/1997,Ateneo De Manila University,,,
Pamela,Allison,5/23/1998,Ateneo De Manila University,,,
Steven,Farley,11/14/1998,Ateneo De Manila University,,,
Maxx,Buck,2/18/1993,Ateneo De Manila University,,,
Gabrielle,Cobb,9/25/1993,Ateneo De Manila University,,,
Jeffrey,Dodson,11/25/1998,Ateneo De Manila University,,,
Bianca,Owens,5/9/1992,Ateneo De Manila University,,,
Quinton,Webster,5/14/1995,Ateneo De Manila University,,,
Emiliano,Holder,4/12/1998,Ateneo De Manila University,,,
Ean,Barnett,6/14/1994,Ateneo De Manila University,,,
William,Wall,10/25/1996,Ateneo De Manila University,,,
Jade,Fletcher,4/29/1997,Ateneo De Manila University,,,
Izabella,Terrell,4/9/1993,Ateneo De Manila University,,,
Fiona,Reilly,6/20/1993,Ateneo De Manila University,,,
Brinley,Buckley,8/15/1994,Ateneo De Manila University,,,
Ethen,Russo,6/3/1995,Ateneo De Manila University,,,
Aurora,Douglas,3/12/1996,Ateneo De Manila University,,,
Quinten,Ware,5/25/1992,Ateneo De Manila University,,,
June,Mckenzie,4/1/1996,Ateneo De Manila University,,,
Alexander,Chavez,2/7/1997,Ateneo De Manila University,,,
Gunnar,Fuller,1/18/1996,Ateneo De Manila University,,,
Jordyn,Dennis,3/14/1993,Ateneo De Manila University,,,
Itzel,Ewing,5/31/1994,Ateneo De Manila University,,,
Colten,Shaffer,10/28/1993,Ateneo De Manila University,,,
Cohen,Avila,2/1/1997,Ateneo De Manila University,,,
Celeste,Benton,2/7/1994,Ateneo De Manila University,,,
Rachel,Mcmahon,10/5/1996,Ateneo De Manila University,,,
Javion,Miles,6/28/1994,Ateneo De Manila University,,,
Alfred,Holcomb,8/24/1993,Ateneo De Manila University,,,
Brogan,Green,7/26/1996,Ateneo De Manila University,,,
Kylan,Meyers,6/27/1994,Ateneo De Manila University,,,
Mya,Wagner,4/17/1995,Ateneo De Manila University,,,
Jabari,Nunez,5/31/1996,Ateneo De Manila University,,,
Nova,Bender,7/27/1994,Ateneo De Manila University,,,
Reuben,Johnson,3/19/1993,Ateneo De Manila University,,,
Felipe,Hewitt,10/10/1994,Ateneo De Manila University,,,
Graham,Riley,8/26/1993,Ateneo De Manila University,,,
Pamela,Rodriquez,4/5/1995,Ateneo De Manila University,,,
Dorian,Wade,6/29/1997,Ateneo De Manila University,,,
George,Adkins,6/13/1994,Ateneo De Manila University,,,
Sonny,Poole,5/29/1993,Ateneo De Manila University,,,
Zavier,Berg,8/23/1997,Ateneo De Manila University,,,
Dayana,Glass,1/8/1993,Ateneo De Manila University,,,
Asa,Cabrera,4/4/1996,Ateneo De Manila University,,,
Joey,Anderson,8/15/1994,Ateneo De Manila University,,,
Tessa,Le,4/22/1997,Ateneo De Manila University,,,
Mae,Bender,5/20/1994,Ateneo De Manila University,,,
Israel,Holman,6/30/1993,Ateneo De Manila University,,,
Lathan,Murray,10/5/1998,Ateneo De Manila University,,,
Edward,Marshall,7/4/1997,Ateneo De Manila University,,,
Emely,Herrera,12/16/1992,Ateneo De Manila University,,,
Mckenzie,Maxwell,6/16/1998,Ateneo De Manila University,,,
Dana,Wong,12/15/1997,Ateneo De Manila University,,,
Sariyah,Hahn,3/20/1994,Ateneo De Manila University,,,
Janessa,Weber,3/7/1996,Ateneo De Manila University,,,
Nahla,Perry,1/26/1994,Ateneo De Manila University,,,
Westin,Burton,3/7/1992,Ateneo De Manila University,,,
Lexi,Carr,2/19/1992,Ateneo De Manila University,,,
Francisco,Melton,5/27/1992,Ateneo De Manila University,,,
Galilea,Spears,8/3/1998,Ateneo De Manila University,,,
Javion,Thompson,5/22/1996,Ateneo De Manila University,,,
Lesly,Moore,3/13/1998,Ateneo De Manila University,,,
Jonathan,Williams,3/13/1995,Ateneo De Manila University,,,
Andre,Foley,5/29/1992,Ateneo De Manila University,,,
Amelia,Cash,2/5/1996,Ateneo De Manila University,,,
Jayla,Roberts,2/9/1997,Ateneo De Manila University,,,
Steve,Leach,11/24/1992,Ateneo De Manila University,,,
Aliza,Levine,1/3/1992,Ateneo De Manila University,,,
Myles,Holden,1/9/1996,Ateneo De Manila University,,,
Jayden,Odom,9/23/1994,Ateneo De Manila University,,,
Celia,Valencia,11/8/1995,Ateneo De Manila University,,,
Valerie,Odom,5/2/1993,Ateneo De Manila University,,,
Ryder,Pugh,7/3/1995,Ateneo De Manila University,,,
Bryleigh,Joseph,2/16/1997,Ateneo De Manila University,,,
Ruth,Lyons,10/14/1994,Ateneo De Manila University,,,
Jeremiah,Harvey,7/12/1996,Ateneo De Manila University,,,
Dominik,Rosa,7/14/1993,Ateneo De Manila University,,,
Brodie,Walton,1/6/1995,Ateneo De Manila University,,,
Aidan,Stokes,9/27/1997,Ateneo De Manila University,,,
Royce,Mosley,8/14/1994,Ateneo De Manila University,,,
Dawson,Dickson,5/8/1996,Ateneo De Manila University,,,
Gabriel,Oneal,12/21/1998,Ateneo De Manila University,,,
Samantha,Sellers,5/8/1997,Ateneo De Manila University,,,
Belen,Franklin,12/1/1994,Ateneo De Manila University,,,
Adan,Stewart,1/28/1998,Ateneo De Manila University,,,
Elliot,Olsen,2/16/1995,Ateneo De Manila University,,,
Frankie,Leblanc,2/20/1996,Ateneo De Manila University,,,
Kayden,Oliver,1/9/1996,Ateneo De Manila University,,,
Jessica,Barton,9/2/1998,Ateneo De Manila University,,,
Kendra,Hewitt,12/9/1996,Ateneo De Manila University,,,
Holden,Reyes,12/9/1994,Ateneo De Manila University,,,
Kenny,Beasley,1/6/1996,Ateneo De Manila University,,,
Amari,Alford,4/19/1997,Ateneo De Manila University,,,
Dustin,Contreras,5/31/1994,Ateneo De Manila University,,,
Angeline,Gillespie,11/18/1993,Ateneo De Manila University,,,
Donovan,Hart,12/17/1998,Ateneo De Manila University,,,
June,Knapp,6/21/1994,Ateneo De Manila University,,,
Chelsea,Rogers,4/1/1996,Ateneo De Manila University,,,
Ross,Hensley,11/26/1997,Ateneo De Manila University,,,
Devon,Mejia,3/10/1994,Ateneo De Manila University,,,
Adrianna,Barnes,11/28/1997,Ateneo De Manila University,,,
Lana,Pena,1/1/1994,Ateneo De Manila University,,,
Frank,Blackwell,4/20/1993,Ateneo De Manila University,,,
Seth,Melton,12/12/1993,Ateneo De Manila University,,,
Enrique,Mckenzie,3/31/1993,Ateneo De Manila University,,,
Adam,Estrada,12/25/1993,Ateneo De Manila University,,,
Rocco,Russo,10/27/1992,Ateneo De Manila University,,,
Nora,Aguilar,1/8/1993,Ateneo De Manila University,,,
Kody,Whitfield,12/16/1997,Ateneo De Manila University,,,
Ryan,Ross,8/11/1993,Ateneo De Manila University,,,
Gracie,Atkins,10/9/1992,Ateneo De Manila University,,,
Bo,Pollard,9/8/1997,Ateneo De Manila University,,,
Dalton,Franklin,9/14/1995,Ateneo De Manila University,,,
Dallas,Pierce,1/17/1998,Ateneo De Manila University,,,
Gideon,Walter,9/18/1997,Ateneo De Manila University,,,
Jaidyn,Brewer,11/18/1992,Ateneo De Manila University,,,
Braiden,Mcintyre,8/7/1996,Ateneo De Manila University,,,
Deangelo,Phillips,5/22/1998,Ateneo De Manila University,,,
Chana,Sutton,12/4/1993,Ateneo De Manila University,,,
Sarah,Mcneil,5/4/1993,Ateneo De Manila University,,,
Charleigh,Walker,9/1/1993,Ateneo De Manila University,,,
Alena,Sandoval,6/25/1996,Ateneo De Manila University,,,
Brayan,Wilder,1/31/1994,Ateneo De Manila University,,,
Brenna,Cole,7/28/1994,Ateneo De Manila University,,,
Keenan,Norris,1/15/1992,Ateneo De Manila University,,,
Gustavo,Hanson,10/8/1992,Ateneo De Manila University,,,
Clarissa,Soto,1/27/1994,Ateneo De Manila University,,,
Lauryn,Hawkins,5/3/1992,Ateneo De Manila University,,,
Ramiro,Buchanan,3/5/1993,Ateneo De Manila University,,,
Fatima,Hewitt,6/14/1998,Ateneo De Manila University,,,
Deegan,Chen,3/10/1993,Ateneo De Manila University,,,
Brandon,Wise,11/20/1997,Ateneo De Manila University,,,
Karlee,Lopez,6/7/1995,Ateneo De Manila University,,,
Alice,Dixon,11/13/1995,Ateneo De Manila University,,,
Kaiden,Mullins,7/26/1996,Ateneo De Manila University,,,
Darien,Sweeney,3/10/1996,Ateneo De Manila University,,,
Audrina,Baxter,3/1/1994,Ateneo De Manila University,,,
Genesis,Hernandez,11/23/1998,Ateneo De Manila University,,,
Monica,Miles,10/27/1992,Ateneo De Manila University,,,
Randall,Knight,1/14/1992,Ateneo De Manila University,,,
Ty,Holden,10/14/1996,Ateneo De Manila University,,,
Drew,Kaufman,11/11/1996,Ateneo De Manila University,,,
Braxton,Potts,6/1/1996,Ateneo De Manila University,,,
Titus,Small,6/7/1995,Ateneo De Manila University,,,
Leighton,Cline,5/24/1997,Ateneo De Manila University,,,
Jadyn,Bentley,4/12/1995,Ateneo De Manila University,,,
Reagan,Mcmillan,6/14/1998,Ateneo De Manila University,,,
Lila,Holmes,5/2/1995,Ateneo De Manila University,,,
Conor,Deleon,10/26/1992,Ateneo De Manila University,,,
Erica,Moon,6/25/1995,Ateneo De Manila University,,,
Eileen,Newman,10/18/1998,Ateneo De Manila University,,,
Aryan,Owen,11/21/1997,Ateneo De Manila University,,,
Cameron,Mcintyre,10/8/1995,Ateneo De Manila University,,,
Brice,Mack,11/7/1997,Ateneo De Manila University,,,
Trystan,Daugherty,2/25/1997,Ateneo De Manila University,,,
Jeffery,Dean,6/29/1997,Ateneo De Manila University,,,
Rogelio,Barnett,9/21/1992,Ateneo De Manila University,,,
August,Conley,8/22/1998,Ateneo De Manila University,,,
Maliah,Austin,7/1/1995,Ateneo De Manila University,,,
Josiah,Mays,1/14/1996,Ateneo De Manila University,,,
Nicole,Griffin,4/19/1992,Ateneo De Manila University,,,
Fernanda,Vance,1/9/1992,Ateneo De Manila University,,,
Channing,Faulkner,11/8/1994,Ateneo De Manila University,,,
Lizbeth,Mccray,12/26/1996,Ateneo De Manila University,,,
Halle,Cobb,8/17/1994,Ateneo De Manila University,,,
Princeton,Church,9/23/1996,Ateneo De Manila University,,,
Ernesto,Sykes,11/11/1994,Ateneo De Manila University,,,
Allison,Marshall,12/7/1994,Ateneo De Manila University,,,
Julien,Cabrera,1/28/1997,Ateneo De Manila University,,,
Kyra,Callahan,4/6/1993,Ateneo De Manila University,,,
Ruben,Callahan,11/8/1998,Ateneo De Manila University,,,
Kaia,Shaw,7/19/1993,Ateneo De Manila University,,,
Alayna,Cardenas,2/9/1998,Ateneo De Manila University,,,
Issac,Hall,2/28/1994,Ateneo De Manila University,,,
Brynn,Humphrey,8/19/1992,Ateneo De Manila University,,,
Zane,Cohen,7/13/1992,Ateneo De Manila University,,,
Sidney,Willis,11/25/1993,Ateneo De Manila University,,,
Danna,Holt,9/5/1997,Ateneo De Manila University,,,
Desiree,Miranda,11/16/1992,Ateneo De Manila University,,,
Agustin,Barber,6/5/1992,Ateneo De Manila University,,,
Maxim,Holt,3/27/1996,Ateneo De Manila University,,,
Rowen,Pugh,5/9/1995,Ateneo De Manila University,,,
Hugh,Hunter,7/19/1993,Ateneo De Manila University,,,
Ty,Drake,10/7/1998,Ateneo De Manila University,,,
Kayson,Roy,2/19/1998,Ateneo De Manila University,,,
Orion,Parrish,2/3/1998,Ateneo De Manila University,,,
Ahmed,Merrill,1/24/1998,Ateneo De Manila University,,,
Hope,Perez,7/6/1996,Ateneo De Manila University,,,
Kaeden,Cotton,2/7/1994,Ateneo De Manila University,,,
Skylar,Daugherty,4/25/1995,Ateneo De Manila University,,,
Robert,Hill,8/5/1996,Ateneo De Manila University,,,
Julianna,Farmer,2/3/1995,Ateneo De Manila University,,,
Bianca,Gregory,3/14/1992,Ateneo De Manila University,,,
Sasha,Prince,12/31/1996,Ateneo De Manila University,,,
Maritza,Larson,6/15/1992,Ateneo De Manila University,,,
Braylen,Hines,9/18/1994,Ateneo De Manila University,,,
Arielle,Burgess,7/13/1995,Ateneo De Manila University,,,
Braylin,Alston,12/25/1997,Ateneo De Manila University,,,
Graysen,Wiley,11/21/1995,Ateneo De Manila University,,,
Whitney,Hogan,4/21/1996,Ateneo De Manila University,,,
Evie,Howe,2/4/1993,Ateneo De Manila University,,,
Tripp,Levine,12/16/1995,Ateneo De Manila University,,,
Sharon,Byrd,7/12/1992,Ateneo De Manila University,,,
Charlotte,Dennis,7/22/1992,Ateneo De Manila University,,,
Makhi,Fernandez,1/3/1996,Ateneo De Manila University,,,
Malachi,Thompson,5/30/1992,Ateneo De Manila University,,,
Corey,Nixon,5/6/1996,Ateneo De Manila University,,,
Kristina,Sosa,7/20/1995,Ateneo De Manila University,,,
Kairi,Edwards,10/5/1994,Ateneo De Manila University,,,
Sterling,Brown,4/27/1996,Ateneo De Manila University,,,
Rayan,Schmidt,3/26/1993,Ateneo De Manila University,,,
Bryanna,Barnes,4/25/1996,Ateneo De Manila University,,,
Tamia,Reilly,11/19/1996,Ateneo De Manila University,,,
Alexandra,Patton,4/20/1995,Ateneo De Manila University,,,
Laurel,Weeks,10/14/1992,Ateneo De Manila University,,,
Brenna,Hyde,8/28/1998,Ateneo De Manila University,,,
Nina,Everett,12/10/1994,Ateneo De Manila University,,,
Melissa,Kelley,3/13/1998,Ateneo De Manila University,,,
Mikayla,Brooks,12/27/1992,Ateneo De Manila University,,,
Blaise,Underwood,1/20/1993,Ateneo De Manila University,,,
Michaela,Johnston,8/7/1996,Ateneo De Manila University,,,
Lacey,Terry,6/21/1998,Ateneo De Manila University,,,
Brenna,Perry,5/17/1992,Ateneo De Manila University,,,
Taliyah,Schneider,3/20/1992,Ateneo De Manila University,,,
Maverick,Mercado,8/25/1997,Ateneo De Manila University,,,
Kayden,Houston,3/24/1993,Ateneo De Manila University,,,
Daniella,Washington,10/29/1996,Ateneo De Manila University,,,
Adriel,Salinas,2/21/1996,Ateneo De Manila University,,,
Odin,Kerr,9/5/1996,Ateneo De Manila University,,,
Scarlett,Kidd,10/21/1992,Ateneo De Manila University,,,
Brysen,Steele,11/1/1997,Ateneo De Manila University,,,
Celeste,Shepard,10/26/1994,Ateneo De Manila University,,,
Dillon,Olsen,5/10/1996,Ateneo De Manila University,,,
Deanna,Harrison,7/27/1997,Ateneo De Manila University,,,
Kimberly,Saunders,5/18/1998,Ateneo De Manila University,,,
Delaney,Small,5/17/1996,Ateneo De Manila University,,,
Ivan,Holt,7/8/1995,Ateneo De Manila University,,,
Lauryn,Juarez,9/8/1995,Ateneo De Manila University,,,
Keegan,Rogers,12/11/1993,Ateneo De Manila University,,,
Caydence,Page,8/19/1992,Ateneo De Manila University,,,
Cindy,Cash,1/4/1994,Ateneo De Manila University,,,
Mckenna,Harrington,4/12/1993,Ateneo De Manila University,,,
Taraji,Rhodes,12/11/1997,Ateneo De Manila University,,,
Lindsay,Cochran,4/25/1996,Ateneo De Manila University,,,
Cruz,Hinton,4/18/1998,Ateneo De Manila University,,,
Alayah,Pennington,11/13/1993,Ateneo De Manila University,,,
Lena,Mclean,7/11/1994,Ateneo De Manila University,,,
Calvin,Solis,12/11/1997,Ateneo De Manila University,,,
Sylvia,Black,2/15/1994,Ateneo De Manila University,,,
Alvin,Dodson,5/27/1993,Ateneo De Manila University,,,
Jaiden,Frederick,2/13/1997,Ateneo De Manila University,,,
Miah,Allison,2/17/1996,Ateneo De Manila University,,,
Leona,Lane,3/28/1996,Ateneo De Manila University,,,
Mauricio,Cohen,8/31/1997,Ateneo De Manila University,,,
Anika,Dalton,9/28/1996,Ateneo De Manila University,,,
Derek,Newton,4/6/1994,Ateneo De Manila University,,,
Cody,Calderon,1/19/1994,Ateneo De Manila University,,,
Larissa,Ewing,10/14/1996,Ateneo De Manila University,,,
Rowan,Harding,3/21/1993,Ateneo De Manila University,,,
Cristopher,Hoover,1/23/1992,Ateneo De Manila University,,,
Camille,Frazier,5/11/1997,Ateneo De Manila University,,,
Zaria,Hall,1/14/1995,Ateneo De Manila University,,,
Liv,Gardner,8/8/1996,Ateneo De Manila University,,,
Matthew,Ferguson,11/21/1995,Ateneo De Manila University,,,
Matthias,Reynolds,5/11/1996,Ateneo De Manila University,,,
Giovanni,Wade,7/11/1993,Ateneo De Manila University,,,
Kason,Frank,2/13/1996,Ateneo De Manila University,,,
Emilie,Gardner,2/24/1994,Ateneo De Manila University,,,
Ralph,Burton,4/13/1993,Ateneo De Manila University,,,
Ean,Cooke,4/17/1997,Ateneo De Manila University,,,
Mohammad,Tillman,10/21/1998,Ateneo De Manila University,,,
Jerome,Tran,9/21/1993,Ateneo De Manila University,,,
Lillie,Owen,8/5/1992,Ateneo De Manila University,,,
Lorelai,Lynn,10/5/1995,Ateneo De Manila University,,,
Ashley,Figueroa,2/11/1995,Ateneo De Manila University,,,
Annabelle,Hickman,9/22/1998,Ateneo De Manila University,,,
Julien,Gross,6/8/1993,Ateneo De Manila University,,,
Jada,Mccray,9/23/1992,Ateneo De Manila University,,,
Steven,Harding,10/20/1997,Ateneo De Manila University,,,
Julien,Kidd,7/13/1993,Ateneo De Manila University,,,
Analia,Black,10/22/1992,Ateneo De Manila University,,,
Marcos,Morse,3/19/1997,Ateneo De Manila University,,,
Elvis,Parrish,10/25/1998,Ateneo De Manila University,,,
Bryant,Hahn,5/7/1998,Ateneo De Manila University,,,
Mekhi,Reid,6/17/1998,Ateneo De Manila University,,,
Ulises,Kennedy,5/2/1996,Ateneo De Manila University,,,
Dorothy,Dillon,10/24/1998,Ateneo De Manila University,,,
Luka,Welch,2/18/1998,Ateneo De Manila University,,,
Yareli,Duran,8/14/1994,Ateneo De Manila University,,,
Amaya,Mercado,12/21/1992,Ateneo De Manila University,,,
Calvin,Holmes,7/13/1996,Ateneo De Manila University,,,
Braydon,Dunlap,3/7/1998,Ateneo De Manila University,,,
Delilah,Chen,4/9/1993,Ateneo De Manila University,,,
Rodolfo,Singleton,2/17/1998,Ateneo De Manila University,,,
Alisson,Talley,7/13/1997,Ateneo De Manila University,,,
Reese,Hoover,5/19/1997,Ateneo De Manila University,,,
Elin,Guerra,6/1/1997,Ateneo De Manila University,,,
Abbey,Wheeler,4/20/1994,Ateneo De Manila University,,,
Devon,Holt,1/21/1996,Ateneo De Manila University,,,
Luca,Hopkins,4/13/1992,Ateneo De Manila University,,,
Gustavo,Hooper,4/6/1992,Ateneo De Manila University,,,
Dawson,Patterson,10/3/1997,Ateneo De Manila University,,,
Kade,Kirk,9/21/1996,Ateneo De Manila University,,,
Giovanny,Torres,5/15/1994,Ateneo De Manila University,,,
Xander,Hansen,11/2/1997,Ateneo De Manila University,,,
Paulina,Hansen,5/24/1997,Ateneo De Manila University,,,
Luciana,Vaughan,7/1/1997,Ateneo De Manila University,,,
Stephen,Holman,8/5/1994,Ateneo De Manila University,,,
Salvatore,Farmer,4/4/1994,Ateneo De Manila University,,,
Quinten,Spencer,1/16/1997,Ateneo De Manila University,,,
Ayden,Boyle,4/26/1992,Ateneo De Manila University,,,
Curtis,Hughes,1/9/1997,Ateneo De Manila University,,,
Jaida,Bradshaw,5/31/1996,Ateneo De Manila University,,,
Ashlynn,Franco,3/4/1992,Ateneo De Manila University,,,
Mauricio,Blake,5/4/1995,Ateneo De Manila University,,,
Haylee,Hart,3/7/1998,Ateneo De Manila University,,,
Solomon,Mullins,2/6/1997,Ateneo De Manila University,,,
Peyton,Snow,1/8/1997,Ateneo De Manila University,,,
Kayden,Baird,11/18/1996,Ateneo De Manila University,,,
Ainsley,Hendrix,2/14/1995,Ateneo De Manila University,,,
Bryanna,Barrett,7/2/1993,Ateneo De Manila University,,,
Zayne,Marquez,6/28/1992,Ateneo De Manila University,,,
Katherine,Wagner,8/4/1993,Ateneo De Manila University,,,
Anders,Oneill,3/7/1995,Ateneo De Manila University,,,
Amanda,Steele,4/27/1997,Ateneo De Manila University,,,
Hailey,Steele,6/17/1995,Ateneo De Manila University,,,
Jairo,Jefferson,1/26/1994,Ateneo De Manila University,,,
Regan,Wolfe,4/19/1995,Ateneo De Manila University,,,
Alexis,Lynch,1/6/1995,Ateneo De Manila University,,,
Danny,Valdez,2/23/1995,Ateneo De Manila University,,,
Amara,Thomas,3/20/1993,Ateneo De Manila University,,,
Emilio,Guzman,6/13/1994,Ateneo De Manila University,,,
Alexia,Miller,10/8/1996,Ateneo De Manila University,,,
Corinne,Callahan,7/30/1998,Ateneo De Manila University,,,
Eve,Stokes,10/25/1996,Ateneo De Manila University,,,
Kellan,Watson,1/25/1992,Ateneo De Manila University,,,
Franco,Dorsey,4/19/1998,Ateneo De Manila University,,,
Nicole,Stewart,8/14/1996,Ateneo De Manila University,,,
Brock,Boyer,10/6/1995,Ateneo De Manila University,,,
Conner,Burks,11/19/1995,Ateneo De Manila University,,,
Colten,Rollins,7/11/1993,Ateneo De Manila University,,,
London,Mccarthy,1/14/1998,Ateneo De Manila University,,,
Elias,Ewing,8/12/1994,Ateneo De Manila University,,,
Kara,Petersen,2/24/1993,Ateneo De Manila University,,,
Carla,Vega,3/11/1995,Ateneo De Manila University,,,
Keyon,Mayer,2/20/1997,Ateneo De Manila University,,,
Angelina,Hamilton,6/23/1997,Ateneo De Manila University,,,
Amalia,Gallegos,5/21/1997,Ateneo De Manila University,,,
Meadow,Mccoy,12/8/1993,Ateneo De Manila University,,,
Barrett,Mills,3/6/1996,Ateneo De Manila University,,,
Pierce,Hester,5/18/1992,Ateneo De Manila University,,,
Shane,Cherry,1/24/1993,Ateneo De Manila University,,,
Grady,Soto,5/9/1995,Ateneo De Manila University,,,
Phillip,Murray,3/9/1996,Ateneo De Manila University,,,
Grant,Hebert,4/1/1996,Ateneo De Manila University,,,
Lucia,Clarke,1/24/1993,Ateneo De Manila University,,,
Cale,Carey,12/2/1996,Ateneo De Manila University,,,
Haylie,Shepherd,2/3/1997,Ateneo De Manila University,,,
Julian,Cunningham,9/7/1996,Ateneo De Manila University,,,
Demi,Boone,4/15/1996,Ateneo De Manila University,,,
Eleanor,Larsen,3/30/1994,Ateneo De Manila University,,,
Janet,Knapp,1/9/1995,Ateneo De Manila University,,,
Dominick,Mercer,5/16/1996,Ateneo De Manila University,,,
Jayden,Aguilar,9/27/1998,Ateneo De Manila University,,,
Matthew,Rosario,12/8/1998,Ateneo De Manila University,,,
Lilia,Meadows,5/22/1996,Ateneo De Manila University,,,
Cade,Bowen,3/31/1993,Ateneo De Manila University,,,
Kyndall,Booth,4/29/1995,Ateneo De Manila University,,,
Terrence,Cook,3/16/1993,Ateneo De Manila University,,,
Trevon,Charles,4/6/1995,Ateneo De Manila University,,,
Ellis,Stark,2/10/1995,Ateneo De Manila University,,,
Warren,Wolfe,5/27/1992,Ateneo De Manila University,,,
